"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.138.2.3","192.138.1.3","TCP","58","49153  >  2400 [SYN] Seq=0 Win=65535 Len=0 TSval=2000 TSecr=0 WS=4 SACK_PERM=1"
"3","0.015392","192.138.2.3","192.138.1.3","TCP","54","49153  >  2400 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=2017 TSecr=2006"
"4","0.087587","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=1 Ack=1 Win=131072 Len=536 TSval=2089 TSecr=2006"
"5","0.087771","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=537 Ack=1 Win=131072 Len=536 TSval=2089 TSecr=2006"
"7","0.088012","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=1073 Ack=1 Win=131072 Len=536 TSval=2089 TSecr=2006"
"8","0.088284","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=1609 Ack=1 Win=131072 Len=536 TSval=2089 TSecr=2006"
"10","0.088471","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=2145 Ack=1 Win=131072 Len=536 TSval=2089 TSecr=2006"
"11","0.088652","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=2681 Ack=1 Win=131072 Len=536 TSval=2089 TSecr=2006"
"12","0.088834","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=3217 Ack=1 Win=131072 Len=536 TSval=2089 TSecr=2006"
"13","0.089027","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=3753 Ack=1 Win=131072 Len=536 TSval=2089 TSecr=2006"
"14","0.089111","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=4289 Ack=1 Win=131072 Len=212 TSval=2089 TSecr=2006"
"18","0.159587","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=4501 Ack=1 Win=131072 Len=536 TSval=2161 TSecr=2091"
"19","0.159776","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=5037 Ack=1 Win=131072 Len=536 TSval=2161 TSecr=2091"
"20","0.159963","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=5573 Ack=1 Win=131072 Len=536 TSval=2161 TSecr=2091"
"21","0.160158","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=6109 Ack=1 Win=131072 Len=536 TSval=2161 TSecr=2091"
"22","0.160355","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=6645 Ack=1 Win=131072 Len=536 TSval=2161 TSecr=2091"
"23","0.160552","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=7181 Ack=1 Win=131072 Len=536 TSval=2161 TSecr=2091"
"24","0.160753","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=7717 Ack=1 Win=131072 Len=536 TSval=2161 TSecr=2091"
"26","0.160952","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=8253 Ack=1 Win=131072 Len=536 TSval=2161 TSecr=2091"
"29","0.161019","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=8789 Ack=1 Win=131072 Len=212 TSval=2161 TSecr=2091"
"31","0.231587","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=9001 Ack=1 Win=131072 Len=536 TSval=2233 TSecr=2163"
"32","0.231776","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=9537 Ack=1 Win=131072 Len=536 TSval=2233 TSecr=2163"
"34","0.231971","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=10073 Ack=1 Win=131072 Len=536 TSval=2233 TSecr=2163"
"35","0.232213","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=10609 Ack=1 Win=131072 Len=536 TSval=2233 TSecr=2163"
"37","0.232412","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=11145 Ack=1 Win=131072 Len=536 TSval=2233 TSecr=2163"
